id,ad_type,start_date,end_date,created_on,lat,lon,l1,l2,l3,l4,l5,l6,rooms,bedrooms,bathrooms,surface_total,surface_covered,price,currency,price_period,title,description,property_type,operation_type
TOtgQxOj+h+OrtvvLKp+Uw==,Propiedad,02/01/2020,03/07/2020,02/01/2020,-31635457,-60723646,Argentina,Santa Fe,Santa Fe,,,,10,4,2,350,321,79000,USD,,"CASA CON GRAN TERRENO, GALPON Y DTO","Corredor Responsable: Marcos Provvidenti - CCI Sta Fe N 0198Contacto: Jorgelina Raselli - MLS ID # 420121141-123<br><br>Marcos Provvidenti CCI Santa Fe Mat: N º0198<br><br>OPORTUNIDAD IDEAL PARA INVERSORES O FAMILIA NUMEROSA A METROS DEL PARQUE GARAY. <br>Este inmueble posee un depto en buen estado en la planta alta, que consta de un dormitorio con balcón, con servicios sin independizar de la planta baja. La propiedad es un único inmueble que en la planta baja presenta un estado de mantenimiento a reciclar, siendo la planta baja el diseño original de la vivienda con una distribución volcada hacia el lateral izquierdo con ambientes conectados entre si internamente. Dos de los cuartos ventilan a otros ambientes, sin tener ventilación natural propia. Por el lateral este se encuentra un pasillo que sale desde el frente donde encontramos las cocheras para 3 autos hasta el patio cubierto por una galería y al fondo del terreno un galpón cubierto pero abierto con tinglado. ",Casa,Venta
Zj5//i9qvWUSLn8f06dfBw==,Propiedad,07/06/2020,08/06/2020,07/06/2020,-3159735324,-6.06875E+11,Argentina,Santa Fe,Santa Fe,,,,,2,1,,64,55000,USD,,SE VENDE CASA EN BARRIO GUADALUPE U$S55.000!!!!,"Se vende casa en esquina, desarrollada en planta baja. Al ingresar nos encontramos con la cocina comedor con amplias ventanas que le aportan mucha luz natural y ventilación; en el sector intimo, los dos dormitorios se conectan con el ante baño y el baño. En el exterior posee lavadero cubierto y patio/cochera.Muy buen estado de conservación.Se acepta canje por propiedad de mayor valor.Para más información, llámanos al: -08108887475.Para una atención telefónica personalizada comunicarse de 08:00 a 12:30 Hs. y de 14:00 a 20:00 Hs.Lorena Curcho Corredor Inmobiliario Matrícula 0191. Santa Fe. ArgentinaVentas en Argentina, Uruguay, Panamá y Miami. Contacto desde Argentina: 0810 888 7475 / Resto del mundo: +5493425167638Sitio Web: https:// @libertadorrosario",Casa,Venta
hEENYFQBXJYY4EcNOVk85g==,Propiedad,17/11/2019,27/06/2020,17/11/2019,-31643444,-60713711,Argentina,Santa Fe,Santa Fe,,,,3,2,1,90,84,,,Mensual,Departamento a la venta de dos dormitorios Centro,"Corredor Responsable: Caroline Hogner - CCI Sta Fe N 0042Contacto: Silvia Sassetti - MLS ID # 261063-160Caroline Högner CCI Santa Fe Mat N°0042<br><br><br><br>Impecable departamento a la venta de dos dormitorios con dos baños en zona Centro.<br>Cuenta con amplio y luminoso living/comedor, con puerta ventana al balcón que da al frente, cocina con amoblamiento completo, los dos dormitorios con piso flotante y placares, baño con bañera y baño social. <br>La torre cuenta con dos Salones de usos Múltiples, asadores, pileta de natación, gimnasio, sala de juego, patio en planta baja, generador de energía, 3 ascensores y seguridad las 24 hs. ",Departamento,Venta
jIB/fwYZhtK21DiR3tRj1g==,Propiedad,17/11/2019,27/06/2020,17/11/2019,-31655546,-6071797,Argentina,Santa Fe,Santa Fe,,,,3,1,1,53,53,50000,USD,,Venta departamento de 1 dormitorio-Entrega + cuota,Corredor Responsable: Marcos Provvidenti - CCI Sta Fe N 0198Contacto: Marcelo Christen Vicario - MLS ID # 420121080-158<br><br>Marcos Provvidenti CCI Santa Fe Mat: N º0198<br><br>Plan pilay en venta con posesión.<br>Un dormitorio con placard integrado<br>Cocina sectorizada con lavadero y ventilación natural<br>Un baño completo<br>Balcón<br>Se encuentra ubicado sobre calle General Lopez<br>Cuotas pagas: 156<br>Aguinaldos pagos: 18<br>Posibilidad de cancelación inmediata,Departamento,Venta
GMquB+1UP9viHelXZtAYLQ==,Propiedad,18/11/2019,14/08/2020,18/11/2019,-31664297,-60723885,Argentina,Santa Fe,Santa Fe,,,,,,,460,460,5400000,ARS,,"Galpón - Deposito  en venta, Santa fe  .!!","Corredor Responsable: Maria Gisela Di Pangrazio - CCI Santa Fe N 0425 Contacto: Edgardo Vega - MLS ID # 420191010-241Corredor Ma Gisela Di Pangrazio Matrícula N°0425<br><br>Galpon/ Deposito en venta de muy buenas medidas, para usos multiples en Santa fe",Depósito,Venta
+qSCmMo3I/YETrDeSI0F0A==,Propiedad,16/05/2020,09/09/2020,16/05/2020,-316075273,-606861712,Argentina,Santa Fe,Santa Fe,,,,1,,1,30,30,9000,ARS,Mensual,Departamento - Alberdi,"Atención Aristóbulo del Valle y Galicia. Departamentos monoambientes en  primer piso. Nuevo, A ESTRENAR, buenas terminaciones. Cubiertos 30m2. Con artefacto de cocina, alacenas y mueble de cocina completo, termotanque y mueble divisorio buena calidad.",Departamento,Alquiler
zZ9sSWkCuajOGiThZ2eR5A==,Propiedad,08/12/2019,05/02/2020,08/12/2019,-31634775,-60724126,Argentina,Santa Fe,Santa Fe,,,,4,1,1,101,75,,,Mensual,Casa de 1 dormitorio ZONA PARQUE GARAY,"Corredor Responsable: Marcos Provvidenti - CCI Sta Fe N 0198Contacto: Nicolás Carpegna - MLS ID # 420121108-95<br><br>Marcos Provvidenti CCI Santa Fe Mat: N º0198<br><br>Propiedad ubicada a pocas cuadras de Avenida Gobernador Freyre, inmersa en un entorno comercial ,de espacios verdes y de transportes públicos. Cuenta con cochera , un dormitorio y amplio living comedor , cocina sectorizada . Pequeño patio seco . ",Casa,Venta
SLpFMrP++CE/GS7ew894kg==,Propiedad,08/12/2019,19/01/2020,08/12/2019,-31606742,-60707311,Argentina,Santa Fe,Santa Fe,,,,7,4,3,199,180,,,Mensual,Venta Casa 3 en 1 a reciclar Zona de Don Bosco,"Corredor Responsable: Ivana Batlle Casas - CCI Sante Fe Mat N-0149Contacto: Brian Rosales - MLS ID # 420291068-42Propiedad ubicada en Zona de Barrio Don Bosco de la localidad de Santa Fe;<br>Emplazada en zona tranquila, en continua expansión y en cercanias a un centro de salud, a la plaza Fournier, a Colegio Don Bosco y a La Esquina Encendida, además a pocas cuadras de Avenidas Facundo Zuviría, Castelli y Estanislao Zeballos. <br><br>La vivienda posee orientación cardinal Oeste. Es a remodelar o reciclar. Consta con tres ingresos, por uno de los cuales se accede a la casa principal al recibidor, living, comedor y cocina, luego en la parte privada cuenta con dos dormitorios, uno con ventilación al frente y otro hacia el patio, baño completo, cocina con salida al patio seco, en el cual se encuentra el lavadero.<br><br>El segundo acceso, nos dirige hacia un departamento interno que cuenta con cocina comedor, un dormitorio y un baño.<br><br>Finalmente el tercer acceso es a la planta alta, departamento con porche, cocina-comedor, y un dormitorio con baño, y terraza.<br>Zona con todos los servicios.  (Ver nota Gestor comercial).<br><br><br><br>IVANA BATLLE CASAS, Corredora Inmobiliaria CCI SANTA FE MAT. N° 0149<br><br><br><br><br><br><br><br><br><br>",Casa,Venta
NBHdcA6aVKaxdSmvrkv8GA==,Propiedad,08/12/2019,27/06/2020,08/12/2019,-31648194,-6071105,Argentina,Santa Fe,Santa Fe,,,,4,2,1,50,50,616000,ARS,,VENTA PLAN DE AHORRO PILAY.,"Corredor Responsable: Ivana Batlle Casas - CCI Sante Fe Mat N-0149Contacto: Leonardo Bergallo - MLS ID # 420291078-6Departamento compuesto por dos dormitorios, estar - comedor, cocina - lavadero, baño principal, balcón, a entregar.<br><br>Oportunidad de INVERSIÓN .<br><br>El plan cuenta con 240 cuotas totales y 40 cuotas aguinaldo.<br><br>Posee pagas 76 Cuotas y 12 Aguinaldos.<br><br>Valor de la Cuota ordinaria: $11.589 - (octubre 2019)<br><br>Valor de la Cuota Aguinaldo: $11.589 - (octubre 2019)<br><br>Grupo N° PV(04)<br><br>EXCELENTE OPORTUNIDAD DE INVERSIÓN Y RESGUARDO DE AHORROS.<br><br><br><br><br><br><br>IVANA BATLLE CASAS, Corredora Inmobiliaria CCI SANTA FE MAT. N° 0149<br><br><br><br><br><br><br><br>",Departamento,Venta
MIqFoX35sG9cex3K2hXssw==,Propiedad,25/12/2019,27/06/2020,25/12/2019,-31780739,-60839818,Argentina,Santa Fe,Santa Fe,,,,,,,1003,,,,Mensual,Terreno en venta en Sauce Viejo zona Las Delicias,"Corredor Responsable: Lorena De Luca - CCI Santa Fe N° 0360Contacto: Nicolás Recalde - MLS ID # 420781038-64Corredor:<br>Lorena De Luca Matricula N°0360<br><br>Todas las propiedades que figuran en mi perfil se encuentran a cargo del profesional matriculado de la oficina, la intermediación y la conclusión de las operaciones serán exclusivas por el.<br><br>Terreno en venta ubicado en Sauce Viejo a tan solo 300 metros de Ruta 11, zona de la fabrica de dulce de leche San Ignacio,  sobre calle Guatemala en barrio Las Delicias. Se identifica como lote numero 5 y tiene una superficie total de 1026 m2, mide 17.61 mts de frente por 57 mts de fondo . Super oportunidad, muy cerquita al río y a muy buen valor!!!",Lote,Venta
KmLHwOvjLge+S3t0YpVbKw==,Propiedad,25/12/2019,30/06/2020,25/12/2019,-31649569,-60709592,Argentina,Santa Fe,Santa Fe,,,,,,,192,330,,,Mensual,Local a refaccionar / demoler en Barrio Centro,"Corredor Responsable: Lorena De Luca - CCI Santa Fe N° 0360Contacto: Nicolás Recalde - MLS ID # 420781038-63Corredor:<br>Lorena De Luca Matricula N°0360<br><br>Todas las propiedades que figuran en mi perfil se encuentran a cargo del profesional matriculado de la oficina, la intermediación y la conclusión de las operaciones serán exclusivas por él.<br><br>Local en venta a refeccionar o para utilizar como terreno,  ubicado en Barrio Centro de Santa Fe,  plena zona comercial frente a la Plaza del Soldado. Por sus medidas y ubicación es un terreno ideal para desarrolladora o constructora,  cuenta con un frente de 7.20m. por un fondo de 28.90m. Posee un FOS: 0.85 y un FOT: 3. Gran oportunidad! ",Local comercial,Venta
KUyiibnJOCXJO+i/4SETGg==,Propiedad,25/12/2019,27/06/2020,25/12/2019,-31637395,-60707934,Argentina,Santa Fe,Santa Fe,,,,2,1,1,47,47,,,Mensual,Departamento de 1 dormitorio,"Corredor Responsable: Lorena De Luca - CCI Santa Fe N° 0360Contacto: Martin Castiglioni - MLS ID # 420781046-126Corredor:<br>Lorena De Luca Matricula N°0360<br><br>Todas las propiedades que figuran en mi perfil se encuentran a cargo del profesional matriculado de la oficina, la intermediación y la conclusión de las operaciones serán exclusivas por el.<br><br>Departamento de un dormitorio en venta frente a la facultad de Ingeniería Química.<br>Vista excepcional desde el piso 22.<br>La unidad consta de cocina separada, estar - comedor, balcón, un baño y un dormitorio.<br>Muy luminoso, todos los ambientes ventilados naturalmente.<br>El edificio se encuentra en obra actualmente, Latino 24, fecha de posesión diciembre de 2019.<br>Las fotos correspondes al edificio Latino 20 que ya esta terminado y es igual al que está en obra.<br><br>",Departamento,Venta
cP17KSnV67MYdhaL2f2qfw==,Propiedad,25/12/2019,29/12/2019,25/12/2019,-31633013,-6070502,Argentina,Santa Fe,Santa Fe,,,,2,1,1,40,40,,,Mensual,Departamento de 1 dorm. - Ideal inversionista,Corredor Responsable: Maria Gisela Di Pangrazio - CCI Santa Fe N 0425 Contacto: Verónica Merayo - MLS ID # 420191082-136Corredor Ma Gisela Di Pangrazio Matrícula N°0425<br>,Departamento,Venta
yUj1NAOf7tUTHVcorQhdYw==,Propiedad,25/12/2019,05/07/2020,25/12/2019,-31635733,-60702516,Argentina,Santa Fe,Santa Fe,,,,2,1,1,41,40,,,Mensual,Departamento en venta en Barrio Centro con cochera,"Corredor Responsable: Lorena De Luca - CCI Santa Fe N° 0360Contacto: Cecilia Torres - MLS ID # 420781047-120Corredor:<br>Lorena De Luca Matricula N°0360<br><br>Todas las propiedades que figuran en mi perfil se encuentran a cargo del profesional matriculado de la oficina, la intermediación y la conclusión de las operaciones serán exclusivas por el.<br><br>Departamento de un dormitorio con cochera en venta, ubicado sobre calle 25 de Mayo 1800, entre Corrientes y Moreno. El mismo se encuentra ubicado en planta baja. Al ingresar nos encontramos con el estar-comedor, cocina independiente por la que se accede a un patio trasero, un dormitorio y un baño amplio. Al frente cuenta con amplio balcón corrido que abarca todo el ancho del departamento (estar y dormitorio).<br>El edificio cuenta con personal de seguridad por la noche. <br>La cochera se encuentra ubicada en 1er nivel. <br>El edificio es moderno y cuenta con ubicación privilegiada en el casco histórico de la ciudad de Santa Fe, muy cerca de casa de Gobierno, Tribunales, escuelas, iglesias, comercios; zona conectada con toda la ciudad a través de varias lineas de transporte público. Gran oportunidad, ideal para vivienda permanente, estudio, oficina, etc.<br>",Departamento,Venta
TYd7LkTvCz51ynVj+8tcrg==,Propiedad,25/12/2019,27/06/2020,25/12/2019,-31598902,-60693342,Argentina,Santa Fe,Santa Fe,,,,3,2,1,60,60,,,Mensual,Departamento de 2 dormitorios patio y cochera!!,"Corredor Responsable: Lorena De Luca - CCI Santa Fe N° 0360Contacto: Martin Castiglioni - MLS ID # 420781046-125Corredor:<br>Lorena De Luca Matricula N°0360<br><br>Todas las propiedades que figuran en mi perfil se encuentran a cargo del profesional matriculado de la oficina, la intermediación y la conclusión de las operaciones serán exclusivas por el.<br><br>A estrenar!<br>Departamento de dos dormitorios con patio y cochera ubicado sobre calle Javier de la Rosa casi Av. A. del Valle.<br>Se ingresa por el estar - comedor, cocina conectada por barra desayunador, acceso a la cochera por el mismo ambiente, pasillo distribuidor que conduce al baño, a cada uno de los dormitorios y al patio.<br>Pisos de porcellanato, aberturas de aluminio color blanco, muy buenos detalles de terminación.<br>Muy lindo departamento,luminoso y ventilado. Gran oportunidad!!!<br>",Departamento,Venta
L+auN1xdOsgo6aaE/ErLmg==,Propiedad,25/12/2019,05/07/2020,25/12/2019,-3166028,-60724552,Argentina,Santa Fe,Santa Fe,,,,5,2,1,133,103,,,Mensual,Casa con cochera y dos dormitorios,"Corredor Responsable: Lorena De Luca - CCI Santa Fe N° 0360Contacto: Cecilia Torres - MLS ID # 420781047-121Corredor:<br>Lorena De Luca Matricula N°0360<br><br>Todas las propiedades que figuran en mi perfil se encuentran a cargo del profesional matriculado de la oficina, la intermediación y la conclusión de las operaciones serán exclusivas por el.<br><br>Casa en venta a metros de Bv. Zavalla,  de construcción muy buena y sólida. Al ingresar cuenta con un amplio estar-comedor, que deriva en la cocina sectorizada e independiente, como así también el lavadero. Desde el interior del inmueble podemos ingresar a la cochera. La propiedad cuenta con 2 amplios dormitorios y un baño.- Posee patio seco y escalera que nos lleva a una amplia y muy cómoda terraza.-<br>Tiene la característica que está cerca de arterias principales que comunican la ciudad.- acceso al Autopista, a Santo Tomé, etc.<br>El inmueble se encuentra alquilado por 1 año más.-",Casa,Venta
7FSCtA+rWJwtTbA3L5jXwA==,Propiedad,25/12/2019,21/01/2020,25/12/2019,-31618008,-60595678,Argentina,Santa Fe,Santa Fe,,,,7,3,3,1360,,,,Mensual,Casa en venta en Colastiné con gran terreno,"Corredor Responsable: Lorena De Luca - CCI Santa Fe N° 0360Contacto: Rodrigo Gómez - MLS ID # 420781035-71Corredor:<br>Lorena De Luca Matricula N°0360<br><br>Todas las propiedades que figuran en mi perfil se encuentran a cargo del profesional matriculado de la oficina, la intermediación y la conclusión de las operaciones serán exclusivas por el.<br><br>Propiedad ubicada en la intersección de calle Las Moras y Ubajay, Colastiné, a 250 mts de la ruta Nº 1. Emplazada sobre un terreno de 1360 m2. Excelente calidad constructiva, muy cómoda y funcional. Construida en dos plantas, en planta baja se encuentra el ingreso principal, living/comedor , cocina sectorizada con horno empotrado, antebaño ,baño , un dormitorio , escritorio,  salta de estar ,galería que se puede utlilizar como cochera para 2 vehiculos, un  quincho con asador ,  lavadero sectorizado,  baño , segunda galería que se utiliza como cochera pasante.  La planta alta  consta de pasillo distribuidor, hall, dos dormitorios,  antebaño, baño y balcón. Hermoso entorno, en un barrio muy tranquilo.<br><br>",Otro,Venta
r4hchg36q+tR9v3x3vfrHg==,Propiedad,25/12/2019,02/09/2020,25/12/2019,-31647179,-60712206,Argentina,Santa Fe,Santa Fe,,,,,,,15,15,20000,USD,,CCHERA EN VENTA - ZONA CENTRO,Corredor Responsable: Marcos Provvidenti - CCI Sta Fe N 0198Contacto: Rodrigo Brussa - MLS ID # 420121027-243<br><br>Marcos Provvidenti CCI Santa Fe Mat: N º0198<br><br>Cochera en venta ubicada en el microcentro de Santa Fe. De fácil acceso con portón automático y bajo costo de mantenimiento. A solo dos cuadras del palacio municipal.- <br>,Cochera,Venta
rD5rUlHSrp3R+bAI7LzX4A==,Propiedad,04/12/2019,27/06/2020,04/12/2019,-31655363,-60709119,Argentina,Santa Fe,Santa Fe,,,,,,,,,14000,USD,,"VENTA DE COCHERA EN CENTRO, PEATONAL  - SANTA FE","Corredor Responsable: Marcos Provvidenti - CCI SANTA FE MAT N 0198Contacto: Iván Kiryluk - MLS ID # 420811033-243<br>Marcos Provvidenti CCI Santa Fe Mat: N º0198<br><br>Se vende cochera a 200 mts de la UNL de Santa Fe y 200 mts de la Peatonal de Santa Fe. Excelente zona, de mucho movimiento por la cercania a Bancos, Casa de Gobierno, excelente entorno. Idela para inversión o para tener una cochera donde guardar un auto en el centro de santa fe",Cochera,Venta
SKcpM9guQWE7DYSTBIqUjg==,Propiedad,04/12/2019,28/12/2019,04/12/2019,,,Argentina,Santa Fe,Santa Fe,,,,,1,,,,,,Mensual,AVENIDA FREYRE  2300,"Departamento en AVENIDA FREYRE 2300, Santa Fe, Santa Fe",Departamento,Alquiler
v4JdmiT7S41Ksi7Nc5GniA==,Propiedad,04/12/2019,23/12/2019,04/12/2019,-31629998,-60706394,Argentina,Santa Fe,Santa Fe,,,,2,1,1,49,49,,,Mensual,"Venta depto 1 dormitorio, detalles de Lujo.","Corredor Responsable: Caroline Hogner - CCI Sta Fe N 0042Contacto: Mauro Croce - MLS ID # 261125-17Caroline Högner CCI Santa Fe Mat N°0042<br><br><br>La unidad de 49m2, compuesta distributivamente desde los espacios públicos hacia los espacios íntimos, insonorizado y con visuales cruzadas para asegurar la privacidad y la luminosidad de los ambientes.<br>Gas Natural Aprobado - Aislante Térmico - Aberturas con DVH - Ahorro Energético - Entrega Julio 2020. <br><br>Revoque interior y cielorrasos de yeso.<br>Aberturas de aluminio con DVH.<br>Pisos de Porcelanato.<br>Cocina Amoblada.<br>Frente e interiores de Placares.<br>Artefactos y accesorios sanitarios de primera marca.<br>Ladrillo puzolanico.<br>Construcción más eficiente. <br>Living exterior.<br>Bicicletero.",Departamento,Venta
